Quoi	Pt	quoi
Laisse	Vvc	laisser
encor	Nc	encor
en	S	en
nos	Ds	notre
mains	Nc	main
,	Fw	,
l'	Da	le
autorité	Nc	autorité
suprême	Ag	suprême
;	Fw	;
Et	Vvc	et
nous	Pp	nous
ne	Rp	ne
perdons	Vvc	perdre
rien	Pi	rien
,	Fw	,
lorsque	Cs	lorsque
le	Da	le
même	Ag	même
rang	Nc	rang
,	Fw	,
Quoique	Vvc	quoique
sous	S	sous
d'	Dn	un
autres	Ag	autre
noms	Nc	nom
,	Fw	,
demeure	Vvc	demeurer
à	S	à
notre	Ds	notre
sang	Nc	sang
.	Fs	.
J'	Pp	je
ai	Vuc	avoir
trop	Rg	trop
d'	S	de
expérience	Nc	expérience
,	Fw	,
et	Cc	et
j'	Pp	je
ai	Vuc	avoir
trop	Rg	trop
vu	Ge	voir
de	S	de
marques	Nc	marque
,	Fw	,
Ô	Nc	ô
généreux	Ag	généreux
Surgeon	Nc	surgeon
,	Fw	,
et	Cc	et
tige	Nc	tige
de	S	de
Monarques	Nc	monarque
,	Fw	,
De	Vvc	de
l'	Da	le
étroite	Ag	étroit
union	Nc	union
,	Fw	,
que	Pr	que
produisent	Vvc	produire
nos	Ds	notre
feux	Nc	feu|feux
,	Fw	,
Pour	Nc	pour
croire	Vvn	croire
,	Fw	,
avec	S	avec
l'	Da	le
État	Nc	état
,	Fw	,
devoir	Vvn	devoir
perdre	Vvn	perdre
vos	Ds	votre
voeux	Nc	vœu
;	Fw	;
Je	Vvc	je
sais	Vvc	savoir
,	Fw	,
que	Cs	que
votre	Ds	votre
amour	Nc	amour
,	Fw	,
s'	Pp	se
attache	Vvc	attacher
à	S	à
ma	Ds	mon
personne	Nc	personne
,	Fw	,
Qu'	Vvc	qu'
elle	Pp	il
me	Pp	je
considère	Vvc	considérer
,	Fw	,
et	Cc	et
non	Rg	non
pas	Rg	pas
ma	Ds	mon
couronne	Nc	couronne
;	Fw	;
Aussi	Ge	aussi
depuis	S	depuis
longtemps	Rg	longtemps
,	Fw	,
le	Da	le
faix	Nc	faix
,	Fw	,
ne	Rp	ne
m'	Pp	je
en	Pp	en
est	Vuc	être
doux	Ag	doux
,	Fw	,
Que	Vvc	que
par	S	par
l'	Da	le
honneur	Nc	honneur
,	Fw	,
qu'	Cs	que
il	Pp	il
a	Vuc	avoir
d'	S	de
être	Vun	être
porté	Ge	porter
de	S	de
vous	Pp	vous
;	Fw	;
Je	Vvc	je
n'	Rp	ne
en	Pp	en
aime	Vvc	aimer
l'	Da	le
éclat	Nc	éclat
,	Fw	,
que	Cs	que
dessus	S	dessus
votre	Ds	votre
tête	Nc	tête
,	Fw	,
Je	Vvc	je
sais	Vvc	savoir
,	Fw	,
combien	Rg	combien
j'	Pp	je
en	Pp	en
fis	Vvc	faire
,	Fw	,
une	Dn	un
indigne	Ag	indigne
conquête	Nc	conquête
;	Fw	;
Je	Vvc	je
ne	Rp	ne
puis	Vvc	pouvoir
me	Pp	je
parer	Vvn	parer
,	Fw	,
d'	S	de
un	Dn	un
ornement	Nc	ornement
si	Rg	si
cher	Ag	cher
,	Fw	,
Que	Vvc	que
je	Pp	je
ne	Rp	ne
pense	Vvc	penser
au	S+Da	à+le
front	Nc	front
,	Fw	,
d'	S	de
où	Pr	où
j'	Pp	je
osai	Vvc	oser
l'	Pp	il
arracher	Vvn	arracher
;	Fw	;
Et	Vvc	et
sais	Vvc	savoir
,	Fw	,
que	Cs	que
sur	S	sur
le	Da	le
mien	Ps	mien
,	Fw	,
tout	Pi	tout
ce	Pd	ce
qu'	Pr	que
il	Pp	il
a	Vuc	avoir
de	S	de
lustre	Nc	lustre
,	Fw	,
D'	Nc	d'
un	Dn	un
énorme	Ag	énorme
forfait	Nc	forfait
,	Fw	,
n'	Rp	ne
est	Vuc	être
qu'	Rg	que
une	Dn	un
marque	Nc	marque
illustre	Ag	illustre
.	Fs	.
Si	Cs	si
vous	Pp	vous
le	Pp	il
voulez	Vvc	vouloir
donc	Rg	donc
,	Fw	,
au	S+Da	à+le
front	Nc	front
de	S	de
votre	Ds	votre
fils	Nc	fil|fils
,	Fw	,
Je	Vvc	je
m'	Pp	je
en	Pp	en
prive	Vvc	priver
avec	S	avec
joie	Nc	joie
,	Fw	,
et	Cc	et
je	Pp	je
vous	Pp	vous
l'	Pp	il
ai	Vuc	avoir
promis	Ge	promettre
;	Fw	;
Je	Vvc	je
ne	Rp	ne
le	Pp	il
puis	Vvc	pouvoir
garder	Vvn	garder
par	S	par
droit	Nc	droit
héréditaire	Ag	héréditaire
,	Fw	,
Après	Vvc	après
m'	Pp	je
être	Vun	être
souillé	Ge	souiller
,	Fw	,
du	S+Da	de+le
meurtre	Nc	meurtre
de	S	de
mon	Ds	mon
père	Nc	père
;	Fw	;
Mardesane	Vvc	mardesane
en	Pp	en
sera	Vuc	être
plus	Rg	plus
juste	Ag	juste
successeur	Nc	successeur
,	Fw	,
Du	Vvc	du
bien	Rg	bien
de	S	de
son	Ds	son
aïeul	Nc	aïeul
,	Fw	,
faisons-le	V	faisons-le
possesseur	Nc	possesseur
;	Fw	;
Si	Vvc	si
l'	Da	le
acquisition	Nc	acquisition
,	Fw	,
en	Pp	en
fut	Vuc	être
illégitime	Ag	illégitime
;	Fw	;
J'	Vvc	j'
en	Pp	en
ai	Vuc	avoir
joui	Ge	jouir
sans	S	sans
droit	Nc	droit
,	Fw	,
la	Da	le
garde	Nc	garde
en	Pp	en
est	Vuc	être
un	Dn	un
crime	Nc	crime
;	Fw	;
Je	Vvc	je
le	Pp	il
retiens	Vvc	retenir
à	S	à
tort	Nc	tort
,	Fw	,
comme	Cs	comme
à	S	à
tort	Nc	tort
je	Pp	je
le	Pp	il
pris	Vvc	prendre
,	Fw	,
J'	Vvc	j'
en	Pp	en
dépouillai	Vvc	dépouiller
mon	Ds	mon
père	Nc	père
,	Fw	,
et	Cc	et
j'	Pp	je
en	Pp	en
frustre	Vvc	frustrer
mes	Ds	mon
fils	Nc	fil|fils
;	Fw	;
Ne	Vvc	ne
consultons	Vvc	consulter
donc	Rg	donc
plus	Rg	plus
,	Fw	,
Madame	Nc	madame
,	Fw	,
allons	Vvc	aller
élire	Vvn	élire
,	Fw	,
À	Nc	à
la	Da	le
tête	Nc	tête
du	S+Da	de+le
Camp	Nc	camp
,	Fw	,
une	Dn	un
tête	Nc	tête
à	S	à
l'	Da	le
Empire	Nc	empire
;	Fw	;
Tranquille	Vvc	tranquille
,	Fw	,
et	Cc	et
déchargé	Ge	décharger
d'	S	de
un	Dn	un
faix	Nc	faix
qui	Pr	qui
m'	Pp	je
a	Vuc	avoir
lassé	Ge	lasser
,	Fw	,
Je	Vvc	je
verrai	Vvc	voir
sans	S	sans
regret	Nc	regret
,	Fw	,
en	S	en
cet	Dd	ce
âge	Nc	âge
glacé	Ge	glacer
,	Fw	,
Mon	Nc	mon
sceptre	Nc	sceptre
soutenu	Ge	soutenir
,	Fw	,
d'	S	de
une	Dn	un
main	Nc	main
plus	Rg	plus
capable	Ag	capable
,	Fw	,
Et	Vvc	et
mon	Ds	mon
sang	Nc	sang
innocent	Ag	innocent
,	Fw	,
succéder	Vvn	succéder
au	S+Da	à+le
coupable	Nc	coupable
.	Fs	.
Mais	Cc	mais
peut-il	Rg	peut-il
l'	Da	le
accepter	Nc	accepter
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
sans	S	sans
attentat	Nc	attentat
Contre	Vvc	contrer
le	Da	le
droit	Nc	droit
d'	S	de
aînesse	Nc	aînesse
,	Fw	,
et	Cc	et
la	Da	le
loi	Nc	loi
de	S	de
l'	Da	le
État	Nc	état
?	Fs	?
De	S	de
mon	Ds	mon
zèle	Nc	zèle
,	Fw	,
Madame	Nc	madame
,	Fw	,
excusez	Vvc	excuser
la	Da	le
licence	Nc	licence
,	Fw	,
Syroës	Vvc	syroës
,	Fw	,
a	Vuc	avoir
pour	S	pour
lui	Pp	il
,	Fw	,
le	Da	le
droit	Nc	droit
de	S	de
la	Da	le
naissance	Nc	naissance
;	Fw	;
Voulez	Vvc	vouloir
-vous	Nc	-vous
voir	Vvn	voir
armer	Vvn	armer
la	Da	le
Perse	Nc	perse
contre	S	contre
soi	Pp	il
,	Fw	,
Et	Vvc	et
lui	Pp	il
donner	Vvn	donner
la	Da	le
guerre	Nc	guerre
en	S	en
lui	Pp	il
donnant	Ga	donner
un	Dn	un
Roi	Nc	roi
?	Fs	?
Songez	Vvc	songer
à	S	à
quels	Dt	quel
malheurs	Nc	malheur
vous	Pp	vous
l'	Pp	il
exposez	Vvc	exposer
en	S	en
butte	Nc	butte
,	Fw	,
Un	Vvc	un
rang	Nc	rang
si	Rg	si
élevé	Ge	élever
,	Fw	,
vaut	Vvc	valoir
bien	Rg	bien
qu'	Cs	que
on	Pp	on
le	Da	le
dispute	Nc	dispute
.	Fs	.
Objet	Nc	objet
de	S	de
nos	Ds	notre
encens	Nc	encens
,	Fw	,
Soleil	Nc	soleil
!	Fs	!
tu	Pp	tu
m'	Pp	je
es	Vuc	être
témoin	Ag	témoin
,	Fw	,
Si	Vvc	si
l'	Da	le
intérêt	Nc	intérêt
d'	S	de
un	Dn	un
fils	Nc	fil|fils
,	Fw	,
me	Pp	je
produit	Vvc	produire
aucun	Di	aucun
soin	Nc	soin
!	Fs	!
Et	Cc	et
si	Cs	si
l'	Da	le
ambition	Nc	ambition
qu'	Pr	que
excite	Vvc	exciter
un	Dn	un
Diadème	Nc	diadème
,	Fw	,
Pour	Nc	pour
en	S	en
parer	Vvn	parer
autrui	Pi	autrui
,	Fw	,
sortirait	Vvc	sortir
de	S	de
moi-même	Pp	lui-même
!	Fs	!
Votre	Ds	votre
seul	Ag	seul
intérêt	Nc	intérêt
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
m'	Pp	je
en	Pp	en
peut	Vvc	pouvoir
priver	Vvn	priver
,	Fw	,
Je	Vvc	je
le	Pp	il
perds	Vvc	perdre
sans	S	sans
regret	Nc	regret
,	Fw	,
quand	Cs	quand
il	Pp	il
vous	Pp	vous
faut	Vvc	faillir|falloir
sauver	Vvn	sauver
?	Fs	?
Mais	Cc	mais
déposant	Ga	déposer
ce	Dd	ce
faix	Nc	faix
,	Fw	,
où	Pr	où
votre	Ds	votre
âge	Nc	âge
succombe	Vvc	succomber
,	Fw	,
Voyez	Vvc	voir
,	Fw	,
sur	S	sur
qui	Pr	qui
des	Dn	un
deux	Nc	deux
,	Fw	,
il	Pp	il
importe	Vvc	importer
qu'	Cs	que
il	Pp	il
tombe	Vvc	tomber
;	Fw	;
L'	Vvc	l'
intérêt	Nc	intérêt
de	S	de
l'	Da	le
aîné	Nc	aîné
,	Fw	,
(	Fw	(
vous	Pp	vous
vivant	Ga	vivre
)	Fw	)
est	Vuc	être
couvert	Ge	couvrir
,	Fw	,
Et	Vvc	et
son	Ds	son
aînesse	Nc	aînesse
,	Fw	,
encor	Nc	encor
,	Fw	,
n'	Rp	ne
a	Vuc	avoir
point	Rg	point
de	S	de
droit	Nc	droit
ouvert	Ge	ouvrir
;	Fw	;
Un	Vvc	un
Roi	Nc	roi
qui	Pr	qui
fuit	Vvc	fuir
le	Da	le
soin	Nc	soin
,	Fw	,
et	Cc	et
dont	Pr	dont
l'	Da	le
âge	Nc	âge
s'	Pp	se
abaisse	Vvc	abaisser
,	Fw	,
Peut	Vvc	pouvoir
dessus	S	dessus
qui	Pr	qui
lui	Pp	il
plaît	Vvc	plaire
reposer	Vvn	reposer
sa	Ds	son
vieillesse	Nc	vieillesse
;	Fw	;
Et	Vvc	et
pour	S	pour
faire	Vvn	faire
en	S	en
autrui	Pi	autrui
,	Fw	,
considérer	Vvn	considérer
ses	Ds	son
lois	Nc	loi
Donner	Nc	donner
à	S	à
ses	Ds	son
agents	Nc	agent
,	Fw	,
la	Da	le
qualité	Nc	qualité
de	S	de
Rois	Vvc	rois
.	Fs	.
Syroës	Nc	syroës
,	Fw	,
appuyé	Ge	appuyer
,	Fw	,
du	S+Da	de+le
droit	Nc	droit
qu'	Pr	que
il	Pp	il
peut	Vvc	pouvoir
prétendre	Vvn	prétendre
,	Fw	,
Sitôt	Vvc	sitôt
qu'	Cs	que
il	Pp	il
régnera	Vvc	régner
,	Fw	,
ne	Rp	ne
voudra	Vvc	vouloir
plus	Rg	plus
dépendre	Vvn	dépendre
;	Fw	;
Et	Vvc	et
vous	Pp	vous
croyant	Ga	croire
l'	Da	le
Empire	Nc	empire
,	Fw	,
avecques	Vvc	avecques
lui	Pp	il
commun	Nc	commun
,	Fw	,
Vous	Nc	vous
serez	Vuc	être
à	S	à
son	Ds	son
règne	Nc	règne
,	Fw	,
un	Dn	un
obstacle	Nc	obstacle
importun	Ag	importun
;	Fw	;
Vous	Nc	vous
le	Pp	il
verrez	Vvc	voir
bientôt	Rg	bientôt
,	Fw	,
s'	Cs	si
il	Pp	il
se	Pp	il
sent	Vvc	sentir
l'	Da	le
avantage	Nc	avantage
,	Fw	,
Éloigner	Nc	éloigner
les	Da	le
objets	Nc	objet
,	Fw	,
qui	Pr	qui
lui	Pp	il
feront	Vvc	faire
ombrage	Nc	ombrage
;	Fw	;
Et	Vvc	et
je	Pp	je
puis	Vvc	pouvoir
craindre	Vvn	craindre
pis	Nc	pis
,	Fw	,
après	S	après
que	Cs	que
ce	Dd	ce
matin	Nc	matin
,	Fw	,
Il	Vvc	il
eût	Vuc	avoir
,	Fw	,
sans	S	sans
Mardesane	Nc	mardesane
,	Fw	,
été	Ge	être
mon	Ds	mon
assassin	Nc	assassin
;	Fw	;
Et	Vvc	et
que	Cs	que
pour	S	pour
cet	Dd	ce
effet	Nc	effet
,	Fw	,
il	Pp	il
a	Vuc	avoir
tiré	Ge	tirer
l'	Da	le
épée	Nc	épée
.	Fs	.
Ô	Nc	ô
Dieux	Ag	dieux
!	Fs	!
que	Pt	que
dites	Vvc	dire
-vous	Nc	-vous
!	Fs	!
Il	Pp	il
ne	Rp	ne
m'	Pp	je
a	Vuc	avoir
point	Rg	point
trompée	Ge	tromper
;	Fw	;
Comme	Vvc	comme
il	Pp	il
croit	Vvc	croire|croître
mon	Ds	mon
crédit	Nc	crédit
,	Fw	,
fatal	Ag	fatal
à	S	à
son	Ds	son
espoir	Nc	espoir
,	Fw	,
Il	Vvc	il
n'	Rp	ne
a	Vuc	avoir
jamais	Rg	jamais
cessé	Ge	cesser
,	Fw	,
de	S	de
choquer	Vvn	choquer
mon	Ds	mon
pouvoir	Nc	pouvoir
;	Fw	;
Et	Vvc	et
pour	S	pour
toute	Di	tout
raison	Nc	raison
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
l'	Da	le
honneur	Nc	honneur
de	S	de
vous	Pp	vous
plaire	Vvn	plaire
,	Fw	,
Et	Vvc	et
la	Da	le
haine	Nc	haine
du	S+Da	de+le
fils	Nc	fil|fils
,	Fw	,
naît	Vvc	naître
de	S	de
l'	Da	le
amour	Nc	amour
du	S+Da	de+le
Père	Nc	père
.	Fs	.
Que	Pt	que
puis	Vvc	pouvoir
-je	Vvc	-je
attendre	Vvn	attendre
,	Fw	,
donc	Rg	donc
,	Fw	,
de	S	de
son	Ds	son
autorité	Nc	autorité
?	Fs	?
Je	Pp	je
pourvoirai	Vvc	pourvoir
,	Fw	,
Madame	Nc	madame
,	Fw	,
à	S	à
votre	Ds	votre
sûreté	Nc	sûreté
.	Fs	.
Élevant	Nc	élevant
Mardesane	Vvc	mardesane
,	Fw	,
à	S	à
ce	Dd	ce
degré	Nc	degré
suprême	Ag	suprême
,	Fw	,
Vous	Nc	vous
régnerez	Vvc	régner
(	Fw	(
Seigneur	Nc	seigneur
)	Fw	)
en	S	en
un	Dn	un
autre	Pi	autre
vous	Pp	vous
-même	Vvc	-même
;	Fw	;
Sous	Vvc	sous
le	Da	le
gouvernement	Nc	gouvernement
,	Fw	,
qu'	Cs	que
il	Pp	il
se	Pp	il
verra	Vvc	voir
commis	Ge	commettre
,	Fw	,
Et	Vvc	et
l'	Da	le
État	Nc	état
,	Fw	,
et	Cc	et
le	Pp	il
Roi	Vvc	roi
,	Fw	,
tout	Rg	tout
vous	Pp	vous
sera	Vuc	être
soumis	Ge	soumettre
;	Fw	;
Et	Vvc	et
pour	S	pour
votre	Ds	votre
repos	Nc	repos
,	Fw	,
dont	Pr	dont
l'	Da	le
intérêt	Nc	intérêt
nous	Pp	nous
touche	Vvc	toucher
,	Fw	,
Vos	Nc	vos
ordres	Nc	ordre
,	Fw	,
seulement	Rg	seulement
,	Fw	,
passeront	Vvc	passer
par	S	par
sa	Ds	son
bouche	Nc	bouche
;	Fw	;
Par	Nc	par
lui	Pp	il
vous	Pp	vous
régnerez	Vvc	régner
,	Fw	,
par	S	par
vous	Pp	vous
il	Pp	il
régnera	Vvc	régner
,	Fw	,
Et	Vvc	et
ce	Pd	ce
seront	Vuc	être
vos	Ds	votre
lois	Nc	loi
qu'	Pr	que
il	Pp	il
vous	Pp	vous
dispensera	Vvc	dispenser
.	Fs	.
Le	Da	le
soin	Nc	soin
le	Pp	il
regardant	Ga	regarder
,	Fw	,
la	Da	le
gloire	Nc	gloire
sera	Vuc	être
nôtre	As#Ps	nôtre
;	Fw	;
Je	Vvc	je
connais	Vvc	connaître
sa	Ds	son
vertu	Nc	vertu
,	Fw	,
c'	Pd	ce
est	Vuc	être
mon	Ds	mon
sang	Nc	sang
,	Fw	,
c'	Pd	ce
est	Vuc	être
le	Da	le
vôtre	As#Ps	vôtre
,	Fw	,
Dont	Vvc	dont
vos	Ds	votre
chastes	Ag	chaste
ardeurs	Nc	ardeur
,	Fw	,
ont	Vuc	avoir
honoré	Ge	honorer
ce	Dd	ce
flanc	Nc	flanc
,	Fw	,
Et	Vvc	et
que	Cs	que
j'	Pp	je
ose	Vvc	oser
pleiger	Nc	pleiger
,	Fw	,
du	S+Da	de+le
reste	Nc	reste
de	S	de
mon	Ds	mon
sang	Nc	sang
.	Fs	.
Par	S	par
les	Da	le
pleurs	Nc	pleur
,	Fw	,
que	Cs	que
je	Pp	je
dois	Vvc	devoir
,	Fw	,
aux	S+Da	à+les
cendres	Nc	cendre
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
Par	Nc	par
le	Da	le
char	Nc	char
éclatant	Ag	éclatant
,	Fw	,
du	S+Da	de+le
Dieu	Nc	dieu
que	Pr	que
je	Pp	je
révère	Vvc	révérer
,	Fw	,
Par	Nc	par
l'	Da	le
âge	Nc	âge
qui	Pr	qui
me	Pp	je
reste	Vvc	rester
,	Fw	,
et	Cc	et
qu'	Cs	que
il	Pp	il
éclairera	Vvc	éclairer
,	Fw	,
Mardesane	Vvc	mardesane
,	Fw	,
Madame	Nc	madame
,	Fw	,
aujourd'hui	Rg	aujourd'hui
régnera	Vvc	régner
;	Fw	;
Je	Vvc	je
vous	Pp	vous
l'	Pp	il
avais	Vuc	avoir
promis	Ge	promettre
,	Fw	,
et	Cc	et
mon	Ds	mon
repos	Nc	repos
me	Pp	je
presse	Vvc	presser
,	Fw	,
Autant	Ga	autant
que	Cs	que
mon	Ds	mon
amour	Nc	amour
,	Fw	,
d'	S	de
acquitter	Vvn	acquitter
ma	Ds	mon
promesse	Nc	promesse
;	Fw	;
Par	Nc	par
forme	Vvc	former
,	Fw	,
Sardarigue	Vvc	sardarigue
,	Fw	,
assemblez	Vvc	assembler
le	Da	le
Conseil	Nc	conseil
,	Fw	,
Mais	Vvc	mais
,	Fw	,
du	S+Da	de+le
couronnement	Nc	couronnement
,	Fw	,
disposez	Vvc	disposer
l'	Da	le
appareil	Nc	appareil
.	Fs	.
Ou	Cc	ou
la	Pp	il
Reine	Vvc	reine
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
semble	Vvc	sembler
être	Vun	être
intéressée	Ge	intéresser
,	Fw	,
Je	Vvc	je
n'	Rp	ne
ose	Vvc	oser
plus	Rg	plus
avant	Rg	avant
,	Fw	,
vous	Pp	vous
ouvrir	Vvn	ouvrir
ma	Ds	mon
pensée	Nc	pensée
;	Fw	;
Mais	Vvc	mais
...	Fs	...
On	Vvc	on
n'	Rp	ne
a	Vuc	avoir
pas	Rg	pas
dessein	Nc	dessein
,	Fw	,
d'	S	de
en	Pp	en
croire	Vvn	croire
vos	Ds	votre
avis	Nc	avis
.	Fs	.
Ils	Pp	ils
n'	Rp	ne
ont	Vuc	avoir
point	Rg	point
fait	Ge	faire
de	S	de
tort	Nc	tort
,	Fw	,
quand	Cs	quand
on	Pp	on
les	Pp	ils
a	Vuc	avoir
suivis	Ge	suivre
.	Fs	.
Et	Cc	et
ce	Dd	ce
projet	Nc	projet
,	Fw	,
Madame	Nc	madame
,	Fw	,
est	Vuc	être
d'	S	de
assez	Rg	assez
d'	S	de
importance	Nc	importance
,	Fw	,
Pour	Nc	pour
ne	Rp	ne
le	Pp	il
pas	Rg	pas
presser	Vvn	presser
,	Fw	,
avecques	Vvc	avecques
tant	Rg	tant
d'	S	de
instance	Nc	instance
.	Fs	.
Si	Cs	si
j'	Pp	je
en	Pp	en
prévois	Vvc	prévoir
l'	Da	le
issue	Nc	issue
,	Fw	,
elle	Pp	il
doit	Vvc	devoir
aller	Vvn	aller
loin	Rg	loin
.	Fs	.
Je	Pp	je
prendrai	Vvc	prendre
vos	Ds	votre
conseils	Nc	conseil
,	Fw	,
quand	Cs	quand
j'	Pp	je
en	Pp	en
aurai	Vuc	avoir
besoin	Nc	besoin
.	Fs	.
Cependant	Rg	cependant
,	Fw	,
pour	S	pour
ne	Rp	ne
rien	Pi	rien
tenter	Vvn	tenter
à	S	à
notre	Ds	notre
honte	Nc	honte
,	Fw	,
Arrêtez	Vvc	arrêtez
Syroës	Vvc	syroës
,	Fw	,
et	Cc	et
m'	Pp	je
en	Pp	en
rendez	Vvc	rendre
bon	Ag	bon
compte	Nc	compte
.	Fs	.
Si	Cs	si
vous	Pp	vous
voulez	Vvc	vouloir
(	Fw	(
grand	Ag	grand
Roi	Vvc	roi
)	Fw	)
voir	Vvn	voir
le	Da	le
peuple	Nc	peuple
en	S	en
courroux	Nc	courroux
,	Fw	,
Le	Vvc	le
camp	Nc	camp
,	Fw	,
et	Cc	et
tout	Di	tout
l'	Da	le
État	Nc	état
,	Fw	,
soulevés	Ge	soulever
contre	S	contre
vous	Pp	vous
;	Fw	;
Imposez	Vvc	imposer
-moi	Vvc	-moi
cet	Dd	ce
ordre	Nc	ordre
,	Fw	,
et	Cc	et
faites	Vvc	faire
qu'	Cs	que
on	Pp	on
l'	Pp	il
arrête	Vvc	arrêter
.	Fs	.
À	Nc	à
ne	Rp	ne
pas	Rg	pas
obéir	Vvn	obéir
,	Fw	,
il	Pp	il
va	Vvc	aller
de	S	de
votre	Ds	votre
tête	Nc	tête
.	Fs	.
Ô	Nc	ô
Dieux	Ag	dieux
,	Fw	,
dont	Pr	dont
les	Da	le
décrets	Nc	décret
passent	Vvc	passer
nos	Ds	notre
jugements	Nc	jugement
,	Fw	,
Rendez	Vvc	rendre
vaine	Ag	vain
,	Fw	,
l'	Da	le
horreur	Nc	horreur
,	Fw	,
de	S	de
mes	Ds	mon
pressentiments	Nc	pressentiment
!	Fs	!
Si	Cs	si
les	Da	le
Grands	Nc	grand
écoutaient	Vvc	écouter
,	Fw	,
tout	Pi	tout
ce	Pd	ce
qu'	Pr	que
on	Pp	on
leur	Pp	leur
propose	Vvc	proposer
,	Fw	,
Ils	Vvc	ils
ne	Rp	ne
résoudraient	Vvc	résoudre
rien	Pi	rien
,	Fw	,
et	Cc	et
craindrais	Vvc	craindre
toute	Di	tout
chose	Nc	chose
,	Fw	,
Le	Vvc	le
peuple	Nc	peuple
parle	Vvc	parler
assez	Rg	assez
,	Fw	,
mais	Cc	mais
exécute	Vvc	exécuter
peu	Rg	peu
,	Fw	,
Et	Vvc	et
s'	Pp	se
alentit	Vvc	alentit
bientôt	Rg	bientôt
,	Fw	,
après	S	après
son	Ds	son
premier	Ag	premier
feu	Nc	feu
.	Fs	.
Un	Dn	un
exemple	Nc	exemple
en	S	en
tous	Di	tout
cas	Nc	cas
,	Fw	,
à	S	à
l'	Da	le
un	Pi	un
des	S+Da	de+le|de+les
chefs	Nc	chef
funeste	Ag	funeste
,	Fw	,
En	Vvc	en
ces	Dd	ce
soulèvements	Nc	soulèvement
,	Fw	,
désarme	Vvc	désarmer
tout	Di	tout
le	Da	le
reste	Nc	reste
.	Fs	.
Venez	Vvc	venir
,	Fw	,
l'	Da	le
État	Nc	état
lassé	Ge	lasser
,	Fw	,
de	S	de
ployer	Vvn	ployer
sous	S	sous
ma	Ds	mon
loi	Nc	loi
,	Fw	,
Et	Vvc	et
mon	Ds	mon
propre	Ag	propre
repos	Nc	repos
,	Fw	,
nous	Pp	nous
demandent	Vvc	demander
un	Dn	un
Roi	Nc	roi
;	Fw	;
Prince	Vvc	prince
,	Fw	,
allons	Vvc	aller
le	Pp	il
donner	Vvn	donner
,	Fw	,
et	Cc	et
consultez	Vvc	consulter
vos	Ds	votre
forces	Nc	force|forcé
.	Fs	.
Funeste	Ag	funeste
ambition	Nc	ambition
,	Fw	,
cache	Vvc	cacher
-moi	Vvc	-moi
tes	Ds	ton
amorces	Nc	amorce
!	Fs	!
Mes	Ds	mon
jours	Nc	jour
,	Fw	,
prêts	Ag	prêt
d'	S	de
arriver	Vvn	arriver
,	Fw	,
à	S	à
leur	Ds	leur
dernière	Ag	dernier
nuit	Nc	nuit
,	Fw	,
Et	Vvc	et
l'	Da	le
incommodité	Nc	incommodité
,	Fw	,
qui	Pr	qui
les	Pp	ils
presse	Vvc	presser
,	Fw	,
et	Cc	et
les	Pp	ils
suit	Vvc	suivre
,	Fw	,
Et	Vvc	et
qui	Pr	qui
bientôt	Rg	bientôt
m'	Pp	je
appelle	Vvc	appeler
,	Fw	,
au	S+Da	à+le
tribunal	Nc	tribunal
céleste	Ag	céleste
;	Fw	;
Souffrent	Vvc	souffrir
qu'	Cs	que
à	S	à
mon	Ds	mon
Empire	Nc	empire
,	Fw	,
après	S	après
ma	Ds	mon
mort	Nc	mort
je	Pp	je
reste	Vvc	rester
;	Fw	;
Les	Vvc	les
travaux	Nc	travail|travaux
,	Fw	,
et	Cc	et
les	Da	le
soins	Nc	soin
,	Fw	,
qui	Pr	qui
m'	Pp	je
ont	Vuc	avoir
tant	Rg	tant
fait	Ge	faire
vieillir	Vvn	vieillir
,	Fw	,
Ne	Vvc	ne
peuvent	Vvc	pouvoir
toutefois	Rg	toutefois
,	Fw	,
entier	Ag	entier
m'	Pp	je
ensevelir	Vvn	ensevelir
;	Fw	;
Malgré	Vvc	malgré
l'	Da	le
effort	Nc	effort
du	S+Da	de+le
temps	Nc	temps
,	Fw	,
et	Cc	et
de	S	de
mes	Ds	mon
destinées	Nc	destinée
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
par	S	par
qui	Pr	qui
prolonger	Vvn	prolonger
ma	Ds	mon
gloire	Nc	gloire
,	Fw	,
et	Cc	et
mes	Ds	mon
années	Nc	année
,	Fw	,
Par	Nc	par
qui	Pr	qui
las	Ag	las
de	S	de
régner	Vvn	régner
,	Fw	,
voir	Vvn	voir
le	Da	le
règne	Nc	règne
suivant	Ga	suivre
,	Fw	,
Me	Vvc	me
le	Pp	il
perpétuer	Vvn	perpétuer
,	Fw	,
et	Cc	et
renaître	Vvn	renaître
vivant	Ga	vivre
,	Fw	,
Par	Nc	par
qui	Pr	qui
laissant	Ga	laisser
l'	Da	le
État	Nc	état
,	Fw	,
en	S	en
demeurer	Vvn	demeurer
le	Da	le
Maître	Nc	maître
,	Fw	,
Et	Vvc	et
c'	Pd	ce
est	Vuc	être
vous	Pp	vous
,	Fw	,
Mardesane	Vvc	mardesane
,	Fw	,
en	S	en
qui	Pr	qui
je	Pp	je
