Quoi	Pt	quoi
qu'	Cs	que
à	S	à
lui	Pp	il
tes	Ds	ton
voeux	Nc	vœu
,	Fw	,
ni	Cc	ni
tes	Ds	ton
prières	Nc	prière
,	Fw	,
De	Vvc	de
renoncer	Vvn	renoncer
au	S+Da	à+le
jour	Nc	jour
,	Fw	,
plutôt	Rg	plutôt
qu'	Cs	que
à	S	à
ses	Ds	son
lumières	Nc	lumière
,	Fw	,
Et	Vvc	et
détester	Vvn	détester
autant	Rg	autant
les	Da	le
dieux	Nc	dieu|dieux
de	S	de
ton	Ds	ton
époux	Nc	époux
,	Fw	,
Que	Vvc	que
ses	Ds	son
chastes	Ag	chaste
baisers	Nc	baiser
te	Pp	tu
doivent	Vvc	devoir
être	Vun	être
doux	Ag	doux
.	Fs	.
Au	S+Da	à+le
défaut	Nc	défaut
de	S	de
ma	Ds	mon
voix	Nc	voix
,	Fw	,
mes	Ds	mon
pleurs	Nc	pleur
lui	Pp	il
répondirent	Vvc	répondre
,	Fw	,
Tes	Vvc	tes
gens	Nc	gens|gent
dedans	Rg	dedans
ton	Ds	ton
char	Nc	char
aussitôt	Rg	aussitôt
me	Pp	je
rendirent	Vvc	rendre
,	Fw	,
Mais	Vvc	mais
l'	Da	le
esprit	Nc	esprit
si	Rg	si
rempli	Ge	remplir
de	S	de
cette	Dd	ce
impression	Nc	impression
,	Fw	,
Qu'	Vvc	qu'
à	S	à
peine	Nc	peine
eus	Vuc	avoir
-je	Ge	-je
des	S+Da	de+le|de+les
yeux	Nc	œil
pour	S	pour
voir	Vvn	voir
ta	Ds	ton
passion	Nc	passion
;	Fw	;
Et	Vvc	et
qu'	Cs	que
il	Pp	il
fallut	Vvc	falloir
du	S+Da	de+le
temps	Nc	temps
pour	S	pour
ranger	Vvn	ranger
ma	Ds	mon
franchise	Nc	franchise
,	Fw	,
Au	Vvc	au
point	Rg	point
où	Pr	où
ton	Ds	ton
mérite	Nc	mérite
à	S	à
la	Da	le
fin	Nc	fin
l'	Pp	il
a	Vuc	avoir
soumise	Ge	soumettre
.	Fs	.
L'	Da	le
oeil	Nc	œil
qui	Pr	qui
voit	Vvc	voir
dans	S	dans
les	Da	le
coeurs	Nc	cœur
clair	Ag	clair
comme	Cs	comme
dans	S	dans
les	Da	le
cieux	Nc	ciel|cieux
,	Fw	,
Sait	Vvc	savoir
quelle	Dt	quel
aversion	Nc	aversion
j'	Pp	je
ai	Vuc	avoir
depuis	S	depuis
pour	S	pour
tes	Ds	ton
dieux	Nc	dieu|dieux
;	Fw	;
Et	Vvc	et
depuis	S	depuis
notre	Ds	notre
hymen	Nc	hymen
,	Fw	,
jamais	Rg	jamais
le	Da	le
culte	Nc	culte
impie	Ag	impie
,	Fw	,
(	Fw	(
Si	Vvc	si
tu	Pp	tu
l'	Pp	il
as	Vuc	avoir
observé	Ge	observer
)	Fw	)
ne	Rp	ne
m'	Pp	je
a	Vuc	avoir
coûté	Ge	coûter
d'	S	de
hostie	Nc	hostie
;	Fw	;
Jamais	Vvc	jamais
sur	S	sur
leurs	Ds	leur
autels	Nc	autel
mes	Ds	mon
encens	Nc	encens
n'	Rp	ne
ont	Vuc	avoir
fumé	Ge	fumer
;	Fw	;
Et	Vvc	et
lorsque	Cs	lorsque
je	Pp	je
t'	Pp	tu
ai	Vuc	avoir
vu	Ge	voir
de	S	de
fureur	Nc	fureur
enflammé	Ge	enflammer
,	Fw	,
Y	Vvc	y
faire	Vvn	faire
tant	Rg	tant
offrir	Vvn	offrir
d'	Dn	un
innocentes	Ag	innocent
victimes	Nc	victime
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
souhaité	Ge	souhaiter
cent	Nc	cent
fois	Nc	fois
de	S	de
mourir	Vvn	mourir
pour	S	pour
tes	Ds	ton
crimes	Nc	crime
;	Fw	;
Et	Vvc	et
cent	Nc	cent
fois	Nc	fois
vers	S	vers
le	Da	le
Ciel	Nc	ciel
,	Fw	,
témoin	Nc	témoin
de	S	de
mes	Ds	mon
douleurs	Nc	douleur
,	Fw	,
Poussé	Vvc	poussé
pour	S	pour
toi	Pp	tu
des	Dn	un
voeux	Nc	vœu
,	Fw	,
accompagnés	Ge	accompagner
de	S	de
pleurs	Nc	pleur
.	Fs	.
Enfin	Rg	enfin
je	Pp	je
reconnais	Vvc	reconnaître
,	Fw	,
ma	Ds	mon
chère	Ag	cher
Natalie	Nc	natalie
,	Fw	,
Que	Vvc	que
je	Pp	je
dois	Vvc	devoir
mon	Ds	mon
salut	Nc	salut
au	S+Da	à+le
saint	Ag	saint
noeud	Nc	nœud
qui	Pr	qui
nous	Pp	nous
lie	Vvc	lier
;	Fw	;
Permets	Vvc	permettre
-moi	Vvc	-moi
toutefois	Rg	toutefois
de	S	de
me	Pp	je
plaindre	Vvn	plaindre
à	S	à
mon	Ds	mon
tour	Nc	tour
,	Fw	,
Me	Vvc	me
voyant	Ga	voir
te	Pp	tu
chérir	Vvn	chérir
d'	S	de
une	Dn	un
si	Rg	si
tendre	Ag	tendre
amour	Nc	amour
,	Fw	,
Y	Vvc	y
pouvais	Vvc	pouvoir
-tu	Vvc	-tu
répondre	Vvn	répondre
,	Fw	,
et	Cc	et
me	Pp	je
tenir	Vvn	tenir
cachée	Ge	cacher
Cette	Vvc	cette
céleste	Ag	céleste
ardeur	Nc	ardeur
,	Fw	,
dont	Pr	dont
Dieu	Nc	dieu
t'	Pp	tu
avais	Vuc	avoir
touchée	Ge	toucher
?	Fs	?
Peux	Vvc	pouvoir
-tu	Vvn	-tu
,	Fw	,
sans	S	sans
t'	Pp	tu
émouvoir	Vvn	émouvoir
,	Fw	,
avoir	Vun	avoir
vu	Ge	voir
ton	Ds	ton
époux	Nc	époux
,	Fw	,
Contre	Vvc	contrer
tant	Rg	tant
d'	S	de
innocents	Nc	innocent
exercer	Vvn	exercer
son	Ds	son
courroux	Nc	courroux
?	Fs	?
Sans	S	sans
m'	Pp	je
émouvoir	Vvn	émouvoir
,	Fw	,
hélas	I	hélas
!	Fs	!
Le	Da	le
ciel	Nc	ciel
sait	Vvc	savoir
si	Cs	si
tes	Ds	ton
armes	Nc	arme|armé
Versaient	Vvc	verser
jamais	Rg	jamais
de	S	de
sang	Nc	sang
,	Fw	,
sans	S	sans
me	Pp	je
tirer	Vvn	tirer
des	Dn	un
larmes	Nc	larme
;	Fw	;
Je	Vvc	je
m'	Pp	je
en	Pp	en
émeus	Vvc	émouvoir
assez	Rg	assez
;	Fw	;
mais	Cc	mais
eussé	Ag	eussé
-je	Nc	-je
espéré	Ge	espérer
De	Vvc	de
réprimer	Vvn	réprimer
la	Da	le
soif	Nc	soif
d'	S	de
un	Dn	un
lion	Nc	lion
altéré	Ge	altérer
?	Fs	?
De	S	de
contenir	Vvn	contenir
un	Dn	un
fleuve	Nc	fleuve
inondant	Ga	inonder
une	Dn	un
terre	Nc	terre
,	Fw	,
Et	Vvc	et
d'	S	de
arrêter	Vvn	arrêter
dans	S	dans
l'	Da	le
air	Nc	air
la	Da	le
chute	Nc	chute
d'	S	de
un	Dn	un
tonnerre	Nc	tonnerre
?	Fs	?
J'	Pp	je
ai	Vuc	avoir
failli	Ge	faillir
toutefois	Rg	toutefois
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
dû	Ge	devoir
parer	Vvn	parer
tes	Ds	ton
coups	Nc	coup
,	Fw	,
Ma	Vvc	ma
crainte	Nc	crainte
fut	Vuc	être
coupable	Ag	coupable
,	Fw	,
autant	Rg	autant
que	Cs	que
ton	Ds	ton
courroux	Nc	courroux
;	Fw	;
Partageons	Vvc	partager
donc	Rg	donc
la	Da	le
peine	Nc	peine
,	Fw	,
aussi	Rg	aussi
bien	Rg	bien
que	Cs	que
les	Da	le
crimes	Nc	crime
,	Fw	,
Si	Vvc	si
ces	Dd	ce
fers	Nc	fer|fers
te	Pp	tu
sont	Vuc	être
dûs	Ge	devoir
,	Fw	,
ils	Pp	ils
me	Pp	je
sont	Vuc	être
légitimes	Ag	légitime
,	Fw	,
Tous	Ag	tout
deux	Nc	deux
dignes	Ag	digne
de	S	de
mort	Nc	mort
,	Fw	,
et	Cc	et
tous	Di	tout
deux	Nc	deux
résolus	Vvc	résoudre
,	Fw	,
Puisque	Vvc	puisque
nous	Pp	nous
voici	S	voici
joints	Ge	joindre
,	Fw	,
ne	Rp	ne
nous	Pp	nous
séparons	Vvc	séparer
plus	Rg	plus
;	Fw	;
Qu'	Vvc	qu'
aucun	Di	aucun
temps	Nc	temps
,	Fw	,
qu'	Cs	que
aucun	Di	aucun
lieu	Nc	lieu
,	Fw	,
jamais	Rg	jamais
ne	Rp	ne
nous	Pp	nous
divisent	Vvc	diviser
,	Fw	,
Un	Vvc	un
supplice	Nc	supplice
,	Fw	,
un	Dn	un
cachot	Nc	cachot
,	Fw	,
un	Dn	un
juge	Nc	juge
,	Fw	,
nous	Pp	nous
suffisent	Vvc	suffire
.	Fs	.
Par	S	par
un	Dn	un
ordre	Nc	ordre
céleste	Ag	céleste
,	Fw	,
aux	S+Da	à+les
mortels	Nc	mortel
inconnu	Ag	inconnu
,	Fw	,
Chacun	Ag	chacun
part	Nc	part
de	S	de
ce	Dd	ce
lieu	Nc	lieu
,	Fw	,
quand	Cs	quand
son	Ds	son
temps	Nc	temps
est	Vuc	être
venu	Ge	venir
;	Fw	;
Suis	Vvc	suivre
cet	Dd	ce
ordre	Nc	ordre
sacré	Ge	sacrer
,	Fw	,
que	Cs	que
rien	Pi	rien
ne	Rp	ne
doit	Vvc	devoir
confondre	Vvn	confondre
,	Fw	,
Lorsque	Vvc	lorsque
Dieu	Nc	dieu
nous	Pp	nous
appelle	Vvc	appeler
,	Fw	,
il	Pp	il
est	Vuc	être
temps	Nc	temps
de	S	de
répondre	Vvn	répondre
;	Fw	;
Ne	Vvc	ne
pouvant	Ga	pouvoir
avoir	Vun	avoir
part	Nc	part
en	S	en
ce	Dd	ce
combat	Nc	combat
fameux	Ag	fameux
,	Fw	,
Si	Vvc	si
mon	Ds	mon
coeur	Nc	cœur
au	S+Da	à+le
besoin	Nc	besoin
ne	Rp	ne
répond	Vvc	répondre
à	S	à
mes	Ds	mon
voeux	Nc	vœu
;	Fw	;
Mérite	Vvc	mérite
,	Fw	,
en	S	en
m'	Pp	je
animant	Ga	animer
,	Fw	,
ta	Ds	ton
part	Nc	part
de	S	de
la	Da	le
couronne	Nc	couronne
,	Fw	,
Qu'	Vvc	qu'
en	S	en
l'	Da	le
empire	Nc	empire
éternel	Ag	éternel
,	Fw	,
le	Da	le
martyre	Nc	martyr|martyre
nous	Pp	nous
donne	Vvc	donner
;	Fw	;
Au	Vvc	au
défaut	Nc	défaut
du	S+Da	de+le
premier	Nc	premier
,	Fw	,
obtiens	Vvc	obtenir
le	Da	le
second	Nc	second
rang	Nc	rang
,	Fw	,
Acquiers	Nc	acquiers
par	S	par
tes	Ds	ton
souhaits	Nc	souhait
,	Fw	,
ce	Pd	ce
qu'	Pr	que
on	Pp	on
nie	Vvc	nier
à	S	à
ton	Ds	ton
sang	Nc	sang
,	Fw	,
Et	Vvc	et
dedans	Rg	dedans
le	Da	le
péril	Nc	péril
,	Fw	,
m'	Pp	je
assiste	Vvc	assister
en	S	en
cette	Dd	ce
guerre	Nc	guerre
.	Fs	.
Bien	Rg	bien
donc	Rg	donc
,	Fw	,
choisis	Vvc	choisir
le	Da	le
ciel	Nc	ciel
,	Fw	,
et	Cc	et
me	Pp	je
laisse	Vvc	laisser
la	Da	le
terre	Nc	terre
.	Fs	.
Pour	S	pour
aider	Vvn	aider
ta	Ds	ton
constance	Nc	constance
,	Fw	,
en	S	en
ce	Dd	ce
pas	Nc	pas
périlleux	Ag	périlleux
,	Fw	,
Je	Vvc	je
te	Pp	tu
suivrai	Vvc	suivre
partout	Rg	partout
,	Fw	,
et	Cc	et
jusques	Nc	jusques
dans	S	dans
les	Da	le
feux	Nc	feu|feux
;	Fw	;
Heureuse	Nc	heureux
,	Fw	,
si	Cs	si
la	Da	le
loi	Nc	loi
qui	Pr	qui
m'	Pp	je
ordonne	Vvc	ordonner
de	S	de
vivre	Vvn	vivre
,	Fw	,
Jusques	Vvc	jusques
au	S+Da	à+le
ciel	Nc	ciel
enfin	Rg	enfin
me	Pp	je
permet	Vvc	permettre
de	S	de
te	Pp	tu
suivre	Vvn	suivre
;	Fw	;
Et	Vvc	et
si	Rg	si
de	S	de
ton	Ds	ton
tyran	Nc	tyran
le	Da	le
funeste	Ag	funeste
courroux	Nc	courroux
Passe	Vvc	passer
jusqu'	S	jusque
à	S	à
l'	Da	le
épouse	Nc	épouse|époux
,	Fw	,
ayant	Ga	avoir
meurtri	Ge	meurtrir
l'	Da	le
époux	Nc	époux
.	Fs	.
Tes	Ds	ton
gens	Nc	gens|gent
me	Pp	je
rendront	Vvc	rendre
bien	Rg	bien
ce	Dd	ce
favorable	Ag	favorable
office	Nc	office
,	Fw	,
De	Vvc	de
garder	Vvn	garder
qu'	Cs	que
à	S	à
mes	Ds	mon
soins	Nc	soin
césar	Nc	césar
ne	Rp	ne
te	Pp	tu
ravisse	Vvc	ravir
,	Fw	,
Sans	Vvc	sans
en	S	en
prendre	Vvn	prendre
l'	Da	le
heure	Nc	heure
,	Fw	,
et	Cc	et
m'	Pp	je
en	Pp	en
donner	Vvn	donner
avis	Nc	avis
;	Fw	;
Et	Vvc	et
bientôt	Rg	bientôt
de	S	de
mes	Ds	mon
pas	Nc	pas
,	Fw	,
les	Pp	ils
tiens	Vvc	tenir
seront	Vuc	être
suivis	Ge	suivre
;	Fw	;
Bientôt	Vvc	bientôt
...	Fs	...
Épargne	Nc	épargne
-leur	Vvc	-leur
cette	Dd	ce
inutile	Ag	inutile
peine	Nc	peine
,	Fw	,
Laisse	Vvc	laisser
m'	Pp	je
en	S	en
le	Da	le
souci	Nc	souci
,	Fw	,
leur	Ds	leur
veille	Nc	veille
serait	Vuc	être
vaine	Ag	vain
;	Fw	;
Je	Vvc	je
ne	Rp	ne
partirai	Vvc	partir
point	Rg	point
de	S	de
ce	Dd	ce
funeste	Ag	funeste
lieu	Nc	lieu
,	Fw	,
Sans	Vvc	sans
ton	Ds	ton
dernier	Nc	dernier
baiser	Vvn	baiser
,	Fw	,
et	Cc	et
ton	Ds	ton
dernier	Ag	dernier
adieu	Nc	adieu
;	Fw	;
Laisses	Vvc	laisser
-en	Vvn	-en
sur	S	sur
mon	Ds	mon
soin	Nc	soin
reposer	Vvn	reposer
ton	Ds	ton
attente	Nc	attente
.	Fs	.
Aux	S+Da	à+les
desseins	Nc	dessein
importants	Ag	important
,	Fw	,
qui	Pr	qui
craint	Vvc	craindre
impatiente	Ag	impatient
;	Fw	;
Et	Vvc	et
bien	Rg	bien
qu'	Cs	que
obtiendront-nous	V	obtiendront-nous
?	Fs	?
Vos	Ds	votre
soins	Nc	soin
officieux	Ag	officieux
,	Fw	,
À	Nc	à
votre	Ds	votre
époux	Nc	époux
aveugle	Ag	aveugle
,	Fw	,
ont	Vuc	avoir
-ils	Ge	-ils
ouvert	Ge	ouvrir
les	Da	le
yeux	Nc	œil
?	Fs	?
Nul	Di	nul
intérêt	Nc	intérêt
humain	Ag	humain
,	Fw	,
nul	Di	nul
respect	Nc	respect
ne	Rp	ne
le	Pp	il
touche	Vvc	toucher
;	Fw	;
Quand	Nc	quand
j'	Pp	je
ai	Vuc	avoir
voulu	Ge	vouloir
parler	Vvn	parler
,	Fw	,
il	Pp	il
m'	Pp	je
a	Vuc	avoir
fermé	Ge	fermer
la	Da	le
bouche	Nc	bouche
;	Fw	;
Et	Vvc	et
détestant	Ga	détester
les	Da	le
dieux	Nc	dieu|dieux
,	Fw	,
par	S	par
un	Dn	un
long	Ag	long
entretien	Nc	entretien
,	Fw	,
A	Vvc	a
voulu	Ge	vouloir
m'	Pp	je
engager	Vvn	engager
dans	S	dans
le	Da	le
culte	Nc	culte
du	S+Da	de+le
sien	Ps	sien
;	Fw	;
Enfin	Nc	enfin
,	Fw	,
ne	Rp	ne
tentez	Vvc	tenter
plus	Rg	plus
un	Dn	un
dessein	Nc	dessein
impossible	Ag	impossible
,	Fw	,
Et	Vvc	et
gardez	Vvc	garder
que	Cs	que
heurtant	Ga	heurter
ce	Dd	ce
coeur	Nc	cœur
inaccessible	Ag	inaccessible
,	Fw	,
Vous	Nc	vous
ne	Rp	ne
vous	Pp	vous
y	Pp	y
blessiez	Vvc	blesser
,	Fw	,
pensant	Ga	penser
le	Da	le
secourir	Vvn	secourir
,	Fw	,
Et	Vvc	et
ne	Rp	ne
gagniez	Vvc	gagner
le	Da	le
mal	Nc	mal
,	Fw	,
que	Cs	que
vous	Pp	vous
voulez	Vvc	vouloir
guérir	Vvn	guérir
;	Fw	;
Ne	Vvc	ne
veuillez	Vvc	vouloir
point	Rg	point
son	Ds	son
bien	Nc	bien
à	S	à
votre	Ds	votre
préjudice	Nc	préjudice
,	Fw	,
Souffrez	Vvc	souffrir
,	Fw	,
souffrez	Vvc	souffrir
plutôt	Rg	plutôt
,	Fw	,
que	Cs	que
l'	Da	le
obstiné	Nc	obstiné
périsse	Vvc	périr
;	Fw	;
Rapportez	Vvc	rapporter
à	S	à
César	Nc	césar
notre	Ds	notre
inutile	Ag	inutile
effort	Nc	effort
;	Fw	;
Et	Vvc	et
si	Cs	si
la	Da	le
loi	Nc	loi
des	S+Da	de+le|de+les
dieux	Nc	dieu|dieux
fait	Vvc	faire
conclure	Vvn	conclure
à	S	à
sa	Ds	son
mort	Nc	mort
,	Fw	,
Que	Vvc	que
l'	Da	le
effet	Nc	effet
prompt	Ag	prompt
et	Cc	et
court	Ag	court
en	Pp	en
suive	Vvc	suivre
la	Da	le
menace	Nc	menace
,	Fw	,
J'	Vvc	j'
implore	Vvc	implorer
seulement	Rg	seulement
cette	Dd	ce
dernière	Ag	dernier
grâce	Nc	grâce
;	Fw	;
Si	Vvc	si
de	S	de
plus	Rg	plus
doux	Ag	doux
succès	Nc	succès
n'	Rp	ne
ont	Vuc	avoir
suivi	Ge	suivre
mon	Ds	mon
espoir	Nc	espoir
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
l'	Da	le
avantage	Nc	avantage
au	S+Da	à+le
moins	Nc	moins
d'	S	de
avoir	Vun	avoir
fait	Ge	faire
mon	Ds	mon
devoir	Nc	devoir
.	Fs	.
Ô	Vvc	ô
vertu	Nc	vertu
sans	S	sans
égale	Nc	égal
,	Fw	,
et	Cc	et
sur	S	sur
toutes	Di	tout
insigne	Nc	insigne
!	Fs	!
Ô	Vvc	ô
d'	S	de
une	Dn	un
digne	Ag	digne
épouse	Nc	épouse|époux
,	Fw	,
époux	Nc	époux
sans	S	sans
doute	Nc	doute
indigne	Ag	indigne
!	Fs	!
Avec	S	avec
quelle	Dt	quel
pitié	Nc	pitié
le	Pp	il
peut	Vvc	pouvoir
-on	Nc	-on
secourir	Vvn	secourir
,	Fw	,
Si	Vvc	si
sans	S	sans
pitié	Nc	pitié
de	S	de
soi	Pp	il
,	Fw	,
lui-même	Pp	lui-même
il	Pp	il
veut	Vvc	vouloir
périr	Vvn	périr
?	Fs	?
Allez	I	allez
;	Fw	;
n'	Rp	ne
espérez	Vvc	espérer
pas	Rg	pas
que	Cs	que
ni	Cc	ni
force	Nc	force|forcé
ni	Cc	ni
crainte	Nc	crainte
Puissent	Vvc	pouvoir
rien	Pi	rien
,	Fw	,
où	Pr	où
mes	Ds	mon
pleurs	Nc	pleur
n'	Rp	ne
ont	Vuc	avoir
fait	Ge	faire
aucune	Di	aucun
atteinte	Nc	atteinte
;	Fw	;
Je	Vvc	je
connais	Vvc	connaître
trop	Rg	trop
son	Ds	son
coeur	Nc	cœur
,	Fw	,
j'	Pp	je
en	Pp	en
sais	Vvc	savoir
la	Da	le
fermeté	Nc	fermeté
,	Fw	,
Incapable	Ag	incapable
de	S	de
crainte	Nc	crainte
et	Cc	et
de	S	de
légèreté	Nc	légèreté
;	Fw	;
À	Nc	à
regret	Nc	regret
contre	S	contre
lui	Pp	il
je	Pp	je
rends	Vvc	rendre
ce	Dd	ce
témoignage	Nc	témoignage
,	Fw	,
Mais	Vvc	mais
l'	Da	le
intérêt	Nc	intérêt
du	S+Da	de+le
ciel	Nc	ciel
à	S	à
ce	Dd	ce
devoir	Nc	devoir
m'	Pp	je
engage	Vvc	engager
;	Fw	;
Encor	Nc	encor
un	Dn	un
coup	Nc	coup
,	Fw	,
cruel	Ag	cruel
,	Fw	,
au	S+Da	à+le
nom	Nc	nom
de	S	de
notre	Ds	notre
amour	Nc	amour
,	Fw	,
Au	Vvc	au
nom	Nc	nom
saint	Ag	saint
et	Cc	et
sacré	Ge	sacrer
de	S	de
la	Da	le
céleste	Ag	céleste
Cour	Nc	cour
,	Fw	,
Reçois	Vvc	reçois
de	S	de
ton	Ds	ton
épouse	Nc	épouse|époux
un	Dn	un
conseil	Nc	conseil
salutaire	Ag	salutaire
,	Fw	,
Déteste	Vvc	déteste
ton	Ds	ton
erreur	Nc	erreur
,	Fw	,
rends	Vvc	rendre
-toi	Vvc	-toi
le	Da	le
ciel	Nc	ciel
prospère	Ag	prospère
;	Fw	;
Songe	Vvc	songer
et	Cc	et
propose	Vvc	proposer
-toi	Vvc	-toi
,	Fw	,
que	Cs	que
tes	Ds	ton
travaux	Nc	travail|travaux
présents	Ag	présent
,	Fw	,
Comparés	Vvc	comparés
aux	S+Da	à+les
futurs	Nc	futur
,	Fw	,
sont	Vuc	être
doux	Ag	doux
,	Fw	,
ou	Cc	ou
peu	Rg	peu
cuisants	Ga	cuire
!	Fs	!
Vois	Vvc	voir
combien	Rg	combien
cette	Dd	ce
mort	Nc	mort
importe	Vvc	importer
à	S	à
ton	Ds	ton
estime	Nc	estime
!	Fs	!
D'	S	de
où	Pr	où
tu	Pp	tu
sors	Vvc	sortir
,	Fw	,
où	Pr	où
tu	Pp	tu
vas	Vvc	aller
,	Fw	,
et	Cc	et
quel	Dt	quel
objet	Nc	objet
t'	Pp	tu
anime	Vvc	animer
!	Fs	!
Mais	Cc	mais
toi	Pp	tu
,	Fw	,
contiens	Vvc	contenir
ton	Ds	ton
zèle	Nc	zèle
,	Fw	,
il	Pp	il
m'	Pp	je
est	Vuc	être
assez	Rg	assez
connu	Ge	connaître
,	Fw	,
Et	Vvc	et
songe	Vvc	songer
que	Cs	que
ton	Ds	ton
temps	Nc	temps
n'	Rp	ne
est	Vuc	être
pas	Rg	pas
encor	Nc	encor
venu	Ge	venir
;	Fw	;
Que	Vvc	que
je	Pp	je
te	Pp	tu
vais	Vvc	aller
attendre	Vvn	attendre
à	S	à
ce	Dd	ce
port	Nc	port
désirable	Ag	désirable
;	Fw	;
Allons	Vvc	aller
,	Fw	,
exécutez	Vvc	exécuter
le	Da	le
décret	Nc	décret
favorable	Ag	favorable
,	Fw	,
Dont	Vvc	dont
j'	Pp	je
attends	Vvc	attendre
mon	Ds	mon
salut	Nc	salut
,	Fw	,
plutôt	Rg	plutôt
que	Cs	que
le	Da	le
trépas	Nc	trépas
.	Fs	.
Vous	Pp	vous
en	Pp	en
êtes	Vuc	être
coupable	Ag	coupable
,	Fw	,
en	Pp	en
ne	Rp	ne
l'	Pp	il
évitant	Ga	éviter
pas	Rg	pas
.	Fs	.
J'	Pp	je
ose	Vvc	oser
à	S	à
présent	Nc	présent
,	Fw	,
ô	I	oh
Ciel	Ag	ciel
,	Fw	,
d'	S	de
une	Dn	un
vue	Nc	vue
assurée	Ge	assurer
,	Fw	,
Contempler	Vvn	contempler
les	Da	le
brillants	Nc	brillant
de	S	de
ta	Ds	ton
voûte	Nc	voûte
azurée	Ge	azurer
;	Fw	;
Et	Vvc	et
nier	Vvn	nier
ces	Dd	ce
faux	Ag	faux
dieux	Nc	dieu|dieux
,	Fw	,
qui	Pr	qui
n'	Rp	ne
ont	Vuc	avoir
jamais	Rg	jamais
foulé	Ge	fouler
De	Vvc	de
ce	Dd	ce
palais	Nc	palais
roulant	Ga	rouler
,	Fw	,
le	Da	le
lambris	Nc	lambris
étoilé	Ge	étoiler
.	Fs	.
À	Vvc	à
ton	Ds	ton
pouvoir	Nc	pouvoir
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
mon	Ds	mon
époux	Nc	époux
rend	Vvc	rendre
hommage	Nc	hommage
;	Fw	;
Il	Vvc	il
professe	Vvc	professer
ta	Ds	ton
foi	Nc	foi
,	Fw	,
ses	Ds	son
fers	Nc	fer|fers
t'	Pp	tu
en	Pp	en
sont	Vuc	être
un	Dn	un
gage	Nc	gage
;	Fw	;
Ce	Vvc	ce
redoutable	Ag	redoutable
fléau	Nc	fléau
des	S+Da	de+le|de+les
dieux	Nc	dieu|dieux
sur	S	sur
les	Da	le
chrétiens	Nc	chrétien
,	Fw	,
Ce	Vvc	ce
lion	Nc	lion
altéré	Ge	altérer
du	S+Da	de+le
sacré	Nc	sacré
sang	Nc	sang
des	S+Da	de+le|de+les
tiens	Ps	tien
,	Fw	,
Qui	Vvc	qui
de	S	de
tant	Rg	tant
d'	S	de
innocents	Nc	innocent
crut	Vvc	croire|croître
la	Da	le
mort	Nc	mort
légitime	Ag	légitime
,	Fw	,
De	Vvc	de
ministre	Nc	ministre
qu'	Pr	que
il	Pp	il
fut	Vuc	être
,	Fw	,
s'	Pp	se
offre	Vvc	offrir
enfin	Rg	enfin
pour	S	pour
victime	Nc	victime
;	Fw	;
Et	Vvc	et
patient	Ag	patient
agneau	Nc	agneau
,	Fw	,
tend	Vvc	tendre
à	S	à
tes	Ds	ton
ennemis	Nc	ennemi
Un	Vvc	un
col	Nc	col
à	S	à
ton	Ds	ton
saint	Ag	saint
joug	Nc	joug
heureusement	Rg	heureusement
soumis	Ge	soumettre
.	Fs	.
Rompons	Vvc	rompre
,	Fw	,
après	S	après
sa	Ds	son
mort	Nc	mort
,	Fw	,
notre	Ds	notre
honteux	Ag	honteux
silence	Nc	silence
;	Fw	;
De	Vvc	de
ce	Dd	ce
lâche	Ag	lâche
respect	Nc	respect
,	Fw	,
forçons	Vvc	forcer
la	Da	le
violence	Nc	violence
;	Fw	;
Et	Vvc	et
disons	Vvc	dire
aux	S+Da	à+les
tyrans	Nc	tyran
,	Fw	,
d'	S	de
une	Dn	un
constante	Ag	constant
voix	Nc	voix
,	Fw	,
Ce	Vvc	ce
qu'	Cs	que
à	S	à
Dieu	Nc	dieu
,	Fw	,
du	S+Da	de+le
penser	Nc	penser
nous	Pp	nous
avons	Vuc	avoir
dit	Ge	dire
cent	Nc	cent
fois	Nc	fois
.	Fs	.
Donnons	Vvc	donner
air	Nc	air
au	S+Da	à+le
beau	Ag	beau
feu	Nc	feu
dont	Pr	dont
notre	Ds	notre
âme	Nc	âme
est	Vuc	être
pressée	Ge	presser
;	Fw	;
En	Vvc	en
cette	Dd	ce
illustre	Ag	illustre
ardeur	Nc	ardeur
,	Fw	,
mille	Nc	mille
m'	Pp	je
ont	Vuc	avoir
devancée	Ge	devancer
;	Fw	;
D'	Ag	d'
obstacles	Nc	obstacle
infinis	Ag	infini
,	Fw	,
mille	Nc	mille
ont	Vuc	avoir
su	Ge	savoir
triompher	Vvn	triompher
,	Fw	,
Cécile	Vvc	cécile
des	Dn	un
tranchants	Nc	tranchant
,	Fw	,
Prisque	Nc	prisque
des	S+Da	de+le|de+les
dents	Nc	dent
de	S	de
fer	Nc	fer
,	Fw	,
Fauste	Nc	fauste
des	S+Da	de+le|de+les
plombs	Nc	plomb
bouillants	Ag	bouillant
,	Fw	,
Dipne	Nc	dipne
de	S	de
sa	Ds	son
Noblesse	Nc	noblesse
,	Fw	,
Agathe	Nc	agathe
de	S	de
son	Ds	son
sexe	Nc	sexe
,	Fw	,
Agnès	Vvc	agnès
de	S	de
sa	Ds	son
jeunesse	Nc	jeunesse
,	Fw	,
