Ah	I	ah
m'	Pp	je
accommode	Vvc	accommoder
au	S+Da	à+le
temps	Nc	temps
,	Fw	,
et	Cc	et
je	Pp	je
cède	Vvc	céder
au	S+Da	à+le
plus	Rg	plus
fort	Ag	fort
.	Fs	.
Je	Pp	je
trouve	Vvc	trouver
en	S	en
ma	Ds	mon
Lucie	Ge	lucie
un	Dn	un
Ange	Nc	ange
que	Pr	que
j'	Pp	je
adore	Vvc	adorer
,	Fw	,
Un	Vvc	un
objet	Nc	objet
qui	Pr	qui
ravit	Vvc	ravir
,	Fw	,
un	Dn	un
parti	Nc	parti
qui	Pr	qui
m'	Pp	je
honore	Vvc	honorer
;	Fw	;
Et	Vvc	et
déjà	Rg	déjà
,	Fw	,
Jodelet	Nc	jodelet
,	Fw	,
j'	Pp	je
en	Pp	en
serais	Vuc	être
possesseur	Nc	possesseur
,	Fw	,
Si	Vvc	si
certain	Ag	certain
Courtisan	Nc	courtisan
qu'	Pr	que
on	Pp	on
destine	Vvc	destiner
à	S	à
sa	Ds	son
soeur	Nc	sœur
Était	Vvc	était
déjà	Rg	déjà
venu	Ge	venir
;	Fw	;
on	Pp	on
l'	Pp	il
attend	Vvc	attendre
d'	S	de
heure	Nc	heure
en	S	en
heure	Nc	heure
,	Fw	,
Et	Vvc	et
c'	Pd	ce
est	Vuc	être
pour	S	pour
mes	Ds	mon
péchés	Nc	péché
sans	S	sans
doute	Nc	doute
qu'	Pr	que
il	Pp	il
demeure	Vvc	demeurer
.	Fs	.
Je	Pp	je
ferais	Vvc	faire|ferrer
bien	Rg	bien
pourtant	Rg	pourtant
,	Fw	,
pour	S	pour
agir	Vvn	agir
sûrement	Rg	sûrement
,	Fw	,
D'	Vvc	d'
aller	Vvn	aller
voir	Vvn	voir
Dorothée	Vvc	dorothée
,	Fw	,
et	Cc	et
là	Rg	là
civilement	Rg	civilement
Tâcher	Vvn	tâcher
de	S	de
l'	Pp	il
apaiser	Vvn	apaiser
par	S	par
de	Dn	un
belles	Ag	beau
paroles	Nc	parole
.	Fs	.
Vous	Pp	vous
l'	Pp	il
apaiserez	Vvc	apaiser
mieux	Rg	mieux
avecque	Ag	avecque
des	S+Da	de+le|de+les
pistoles	Nc	pistole
.	Fs	.
Je	Pp	je
ne	Rp	ne
puis	Vvc	pouvoir
plus	Rg	plus
loger	Vvn	loger
dans	S	dans
cette	Dd	ce
Hôtellerie	Nc	hôtellerie
,	Fw	,
C'	Vvc	c'
est	Vuc	être
pis	Nc	pis
qu'	Cs	que
un	Dn	un
Hôpital	Nc	hôpital
,	Fw	,
pis	Nc	pis
qu'	Cs	que
une	Dn	un
gueuserie	Nc	gueuserie
,	Fw	,
Je	Vvc	je
crois	Vvc	croire|croître
que	Cs	que
dans	S	dans
l'	Da	le
Enfer	Nc	enfer
on	Pp	on
entend	Vvc	entendre
moins	Rg	moins
de	S	de
bruit	Nc	bruit
,	Fw	,
Et	Vvc	et
qu'	Cs	que
on	Pp	on
y	Pp	y
passe	Vvc	passer
mieux	Rg	mieux
la	Da	le
plus	Rg	plus
mauvaise	Ag	mauvais
nuit	Nc	nuit
.	Fs	.
Je	Pp	je
suis	Vuc	être
moins	Rg	moins
délicat	Ag	délicat
que	Cs	que
vous	Pp	vous
;	Fw	;
mais	Cc	mais
la	Da	le
punaise	Nc	punaise
M'	Ag	m'
a	Vuc	avoir
pourtant	Rg	pourtant
empêché	Ge	empêcher
de	S	de
dormir	Vvn	dormir
à	S	à
mon	Ds	mon
aise	Nc	aise
;	Fw	;
Les	Vvc	les
cousins	Nc	cousin
m'	Pp	je
ont	Vuc	avoir
piqué	Ge	piquer
,	Fw	,
les	Da	le
rats	Nc	rat
et	Cc	et
les	Da	le
souris	Nc	souris
M'	Ag	m'
ont	Vuc	avoir
pissé	Ge	pisser
sur	S	sur
le	Da	le
nez	Nc	nez
,	Fw	,
et	Cc	et
j'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
des	S+Da	de+le|de+les
esprits	Nc	esprit
.	Fs	.
Va-t	Nc	va-t
-en	Vvc	-en
vite	Rg	vite
savoir	Vvn	savoir
où	Pr	où
Don	Nc	don
Félix	Nc	félix
demeure	Vvc	demeurer
;	Fw	;
Ne	Vvc	ne
pense	Vvc	penser
pas	Rg	pas
tarder	Vvn	tarder
plus	Rg	plus
d'	S	de
un	Dn	un
demi	Ag	demi
quart	Nc	quart
d'	S	de
heure	Nc	heure
,	Fw	,
Toi	Vvc	taire
qui	Pr	qui
fais	Vvc	faire
quelquefois	Rg	quelquefois
en	S	en
un	Dn	un
jour	Nc	jour
six	Nc	six
repas	Nc	repas
.	Fs	.
Quelque	Di	quelque
pressé	Ge	presser
qu'	Cs	que
il	Pp	il
soit	Vuc	être
,	Fw	,
je	Pp	je
ne	Rp	ne
laisserai	Vvc	laisser
pas	Rg	pas
De	Vvc	de
m'	Pp	je
humecter	Vvn	humecter
un	Dn	un
peu	Rg	peu
contre	S	contre
la	Da	le
sécheresse	Nc	sécheresse
.	Fs	.
Si	Cs	si
le	Pp	il
Ciel	Vvc	ciel
t'	Pp	tu
avait	Vuc	avoir
fait	Ge	faire
un	Dn	un
peu	Rg	peu
plus	Rg	plus
pécheresse	Nc	pécheur
,	Fw	,
Que	Vvc	que
je	Pp	je
serais	Vuc	être
heureux	Ag	heureux
,	Fw	,
t'	Pp	tu
ayant	Ga	avoir
donné	Ge	donner
mon	Ds	mon
coeur	Nc	cœur
!	Fs	!
Car	Cc	car
hélas	I	hélas
,	Fw	,
malheureux	Ag	malheureux
!	Fs	!
Je	Pp	je
suis	Vuc	être
un	Dn	un
peu	Rg	peu
pécheur	Nc	pécheur|pêcheur
;	Fw	;
Mais	Vvc	mais
me	Pp	je
mordant	Ga	mordre
plus	Rg	plus
fort	Ag	fort
que	Pr	que
pourrait	Vvc	pouvoir
mordre	Vvn	mordre
un	Dn	un
singe	Nc	singe
,	Fw	,
En	Vvc	en
me	Pp	je
criant	Ga	crier
vilain	Ag	vilain
,	Fw	,
tu	Pp	tu
foupis	Vvc	foupis
tout	Di	tout
mon	Ds	mon
linge	Nc	linge
:	Fw	:
Quand	Cs	quand
je	Pp	je
te	Pp	tu
veux	Vvc	vouloir
baiser	Vvn	baiser
,	Fw	,
tu	Pp	tu
me	Pp	je
mets	Vvc	mettre
tout	Rg	tout
en	S	en
sang	Nc	sang
,	Fw	,
Que	Vvc	que
ne	Rp	ne
m'	Pp	je
as	Vuc	avoir
-tu	Ge	-tu
percé	Ge	percer
d'	S	de
un	Dn	un
grand	Ag	grand
couteau	Nc	couteau
le	Da	le
flanc	Nc	flanc
,	Fw	,
Plutôt	Vvc	plutôt
que	Cs	que
de	S	de
m'	Pp	je
avoir	Vun	avoir
d'	S	de
oeillade	Nc	œillade
meurtrière	Ag	meurtrier
,	Fw	,
Réduit	Vvc	réduit
au	S+Da	à+le
triste	Ag	triste
état	Nc	état
de	S	de
croire	Vvn	croire
que	Cs	que
la	Da	le
bière	Nc	bière
(	Fw	(
Qu'	Vvc	qu'
on	Pp	on
dit	Vvc	dire
être	Vun	être
un	Dn	un
séjour	Nc	séjour
malsain	Ag	malsain
et	Cc	et
caterreux	Ag	caterreux
,	Fw	,
)	Fw	)
Serait	Vvc	serrer
à	S	à
moi	Pp	je
chétif	Ag	chétif
un	Di	un
séjour	Nc	séjour
bienheureux	Ag	bienheureux
!	Fs	!
Tu	Pp	tu
sais	Vvc	savoir
que	Cs	que
mes	Ds	mon
tourments	Nc	tourment
sont	Vuc	être
tourments	Nc	tourment
véritables	Ag	véritable
,	Fw	,
Et	Vvc	et
que	Cs	que
je	Pp	je
t'	Pp	tu
aime	Vvc	aimer
autant	Rg	autant
que	Cs	que
tous	Di	tout
les	Da	le
mille	Nc	mille
diables	Ag	diable
.	Fs	.
Entendrai	Vvc	entendre
-je	Vvc	-je
toujours	Rg	toujours
tes	Ds	ton
discours	Nc	discours
d'	S	de
insensé	Ag	insensé
?	Fs	?
Va	Vvc	aller
te	Pp	tu
faire	Vvn	faire
penser	Vvn	penser
,	Fw	,
si	Cs	si
tu	Pp	tu
te	Pp	tu
sens	Vvc	sentir
blessé	Ge	blesser
;	Fw	;
Je	Vvc	je
m'	Pp	je
en	Pp	en
plaindrai	Vvc	plaindre
tantôt	Rg	tantôt
à	S	à
Don	Nc	don
Félix	Nc	félix
ton	Ds	ton
Maître	Nc	maître
.	Fs	.
Don	Nc	don
Félix	Nc	félix
?	Fs	?
C'	Pd	ce
est	Vuc	être
celui	Pd	celui
que	Pr	que
je	Pp	je
cherche	Vvc	chercher
peut-être	Rg	peut-être
,	Fw	,
Je	Vvc	je
le	Pp	il
veux	Vvc	vouloir
accoster	Vvn	accoster
,	Fw	,
Monsieur	Nc	monsieur
.	Fs	.
Mais	Cc	mais
à	S	à
propos	Nc	propos
...	Fs	...
Va	Vvc	aller
,	Fw	,
parle	Vvc	parler
à	S	à
qui	Pr	qui
te	Pp	tu
parle	Vvc	parler
,	Fw	,
et	Cc	et
me	Pp	je
laisse	Vvc	laisser
en	S	en
repos	Nc	repos
.	Fs	.
Peste	Nc	peste
soit	Vuc	être
l'	Da	le
importun	Nc	importun
qui	Pr	qui
vient	Vvc	venir
troubler	Vvn	troubler
la	Da	le
fête	Nc	fête
!	Fs	!
Que	Cs	que
j'	Pp	je
aurais	Vuc	avoir
grand	Ag	grand
plaisir	Nc	plaisir
à	S	à
lui	Pp	il
rompre	Vvn	rompre
la	Da	le
tête	Nc	tête
!	Fs	!
Mais	Cc	mais
il	Pp	il
me	Pp	je
le	Pp	il
rendrait	Vvc	rendre
.	Fs	.
Je	Pp	je
voudrais	Vvc	vouloir
bien	Rg	bien
savoir	Vvn	savoir
Où	Vvc	où
loge	Nc	loge
Don	Nc	don
Félix	Nc	félix
,	Fw	,
et	Cc	et
quand	Cs	quand
on	Pp	on
le	Pp	il
peut	Vvc	pouvoir
voir	Vvn	voir
.	Fs	.
Il	Pp	il
loge	Vvc	loger
en	S	en
sa	Ds	son
maison	Nc	maison
.	Fs	.
En	S	en
quel	Dt	quel
lieu	Nc	lieu
?	Fs	?
Dans	S	dans
Tolède	Nc	tolède
.	Fs	.
Je	Pp	je
le	Pp	il
crois	Vvc	croire|croître
bien	Rg	bien
ainsi	Rg	ainsi
;	Fw	;
mais	Cc	mais
je	Pp	je
ne	Rp	ne
puis	Vvc	pouvoir
sans	S	sans
aide	Vvc	aider
Trouver	Vvn	trouver
cette	Dd	ce
maison	Nc	maison
,	Fw	,
car	Cc	car
je	Pp	je
suis	Vuc	être
étranger	Ag	étranger
.	Fs	.
Moi	Pp	je
,	Fw	,
je	Pp	je
suis	Vuc	être
un	Pi	un
qui	Pr	qui
tâche	Vvc	tâcher
à	S	à
te	Pp	tu
faire	Vvn	faire
enrager	Vvn	enrager
.	Fs	.
Et	Cc	et
quand	Cs	quand
le	Pp	il
peut	Vvc	pouvoir
-on	Nc	-on
voir	Vvn	voir
?	Fs	?
Alors	Rg	alors
qu'	Cs	que
on	Pp	on
le	Pp	il
regarde	Vvc	regarder
.	Fs	.
Vraiment	Rg	vraiment
vous	Pp	vous
paraissez	Vvc	paraître
d'	S	de
humeur	Nc	humeur
assez	Rg	assez
gaillarde	Ag	gaillard
.	Fs	.
Je	Pp	je
serais	Vuc	être
plus	Rg	plus
gaillard	Ag	gaillard
,	Fw	,
si	Cs	si
vous	Pp	vous
étiez	Vuc	être
plus	Rg	plus
loin	Rg	loin
.	Fs	.
Si	Cs	si
j'	Pp	je
osais	Vvc	oser
lui	Pp	il
donner	Vvn	donner
deux	Nc	deux
ou	Pr	où
trois	Vvc	traire
coups	Nc	coup
de	S	de
poing	Nc	poing
!	Fs	!
Il	Pp	il
lui	Pp	il
donne	Vvc	donner
un	Dn	un
soufflet	Nc	soufflet
.	Fs	.
Personne	Pi	personne
ne	Rp	ne
nous	Pp	nous
voit	Vvc	voir
.	Fs	.
Il	Pp	il
me	Pp	je
prend	Vvc	prendre
grande	Ag	grand
envie	Nc	envie
,	Fw	,
À	Nc	à
ce	Dd	ce
fat	Nc	fat
le	Da	le
plus	Rg	plus
grand	Ag	grand
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
de	S	de
ma	Ds	mon
vie	Nc	vie
,	Fw	,
De	Vvc	de
donner	Vvn	donner
un	Dn	un
soufflet	Nc	soufflet
au	S+Da	à+le
beau	Ag	beau
milieu	Nc	milieu
du	S+Da	de+le
front	Nc	front
.	Fs	.
Vous	Pp	vous
auriez	Vuc	avoir
donc	Rg	donc
dessein	Nc	dessein
de	S	de
me	Pp	je
faire	Vvn	faire
un	Dn	un
affront	Nc	affront
?	Fs	?
Je	Pp	je
m'	Pp	je
en	Pp	en
rapporte	Vvc	rapporter
à	S	à
vous	Pp	vous
.	Fs	.
Moi	Pp	je
?	Fs	?
Je	Pp	je
n'	Rp	ne
en	Pp	en
veux	Vvc	vouloir
rien	Pi	rien
croire	Vvn	croire
,	Fw	,
Pour	Nc	pour
votre	Ds	votre
conscience	Nc	conscience
,	Fw	,
et	Cc	et
pour	S	pour
ma	Ds	mon
propre	Ag	propre
gloire	Nc	gloire
.	Fs	.
Nous	Pp	nous
nous	Pp	nous
verrons	Vvc	voir
encor	Nc	encor
,	Fw	,
mon	Ds	mon
brave	Ag	brave
.	Fs	.
Et	Cc	et
de	S	de
bon	Ag	bon
coeur	Nc	cœur
;	Fw	;
Ne	Vvc	ne
commandez	Vvc	commander
-vous	Nc	-vous
rien	Pi	rien
à	S	à
votre	Ds	votre
serviteur	Nc	serviteur
?	Fs	?
Et	Cc	et
quand	Cs	quand
le	Pp	il
peut	Vvc	pouvoir
-on	Nc	-on
voir	Vvn	voir
?	Fs	?
Alors	Rg	alors
qu'	Cs	que
on	Pp	on
le	Pp	il
regarde	Vvc	regarder
?	Fs	?
Vraiment	Rg	vraiment
vous	Pp	vous
paraissez	Vvc	paraître
d'	S	de
humeur	Nc	humeur
assez	Rg	assez
gaillarde	Ag	gaillard
,	Fw	,
Je	Vvc	je
serais	Vuc	être
plus	Rg	plus
gaillard	Ag	gaillard
,	Fw	,
si	Cs	si
vous	Pp	vous
étiez	Vuc	être
plus	Rg	plus
loin	Rg	loin
.	Fs	.
Là-dessus	Vvc	là-dessus
il	Pp	il
me	Pp	je
donne	Vvc	donner
un	Dn	un
fort	Rg	fort
grand	Ag	grand
coup	Nc	coup
de	S	de
poing	Nc	poing
.	Fs	.
C'	Pd	ce
est	Vuc	être
ainsi	Rg	ainsi
,	Fw	,
m'	Pp	je
est	Vuc	être
avis	Nc	avis
,	Fw	,
que	Cs	que
s'	Pp	se
est	Vuc	être
passé	Ge	passer
la	Da	le
chose	Nc	chose
:	Fw	:
Mais	Cc	mais
avait-il	Vvc	avait-il
la	Da	le
main	Nc	main
toute	Rg	toute
ouverte	Ge	ouvrir
,	Fw	,
ou	Cc	ou
bien	Rg	bien
close	Ge	clore
?	Fs	?
Un	Dn	un
coup	Nc	coup
de	S	de
poing	Nc	poing
est	Vuc	être
plus	Rg	plus
honnête	Ag	honnête
qu'	Cs	que
un	Dn	un
soufflet	Nc	soufflet
;	Fw	;
Je	Vvc	je
m'	Pp	je
en	Pp	en
veux	Vvc	vouloir
éclaircir	Vvn	éclaircir
;	Fw	;
quoique	Cs	quoique
simple	Ag	simple
valet	Nc	valet
,	Fw	,
Je	Vvc	je
suis	Vuc	être
jaloux	Ag	jaloux
d'	S	de
honneur	Nc	honneur
autant	Rg	autant
ou	Cc	ou
plus	Rg	plus
qu'	Cs	que
un	Dn	un
autre	Pi	autre
,	Fw	,
Je	Vvc	je
suis	Vuc	être
un	Dn	un
vrai	Ag	vrai
Démon	Nc	démon
,	Fw	,
lorsqu'	Cs	lorsque
il	Pp	il
y	Pp	y
va	Vvc	aller
du	S+Da	de+le
nôtre	As#Ps	nôtre
;	Fw	;
Et	Vvc	et
lorsque	Cs	lorsque
d'	S	de
un	Dn	un
soufflet	Nc	soufflet
il	Pp	il
m'	Pp	je
est	Vuc	être
venu	Ge	venir
charger	Vvn	charger
,	Fw	,
Si	Vvc	si
ce	Pd	ce
n'	Rp	ne
est	Vuc	être
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
qu'	Cs	que
il	Pp	il
était	Vuc	être
étranger	Ag	étranger
,	Fw	,
Je	Vvc	je
n'	Rp	ne
aurais	Vuc	avoir
pas	Rg	pas
tourné	Ge	tourner
la	Da	le
chose	Nc	chose
en	S	en
raillerie	Nc	raillerie
:	Fw	:
Mais	Cc	mais
pourtant	Rg	pourtant
j'	Pp	je
étais	Vuc	être
prêt	Ag	prêt
de	S	de
me	Pp	je
battre	Vvn	battre
en	S	en
furie	Nc	furie
,	Fw	,
S'	Vvc	s'
il	Pp	il
eût	Vuc	avoir
recommencé	Ge	recommencer
;	Fw	;
Dieu	Nc	dieu
fait	Vvc	faire
tout	Rg	tout
pour	S	pour
le	Da	le
mieux	Nc	mieux
;	Fw	;
Je	Vvc	je
n'	Rp	ne
y	Pp	y
veux	Vvc	vouloir
plus	Rg	plus
penser	Vvn	penser
.	Fs	.
Cet	Dd	ce
homme	Nc	homme
est	Vuc	être
sérieux	Ag	sérieux
,	Fw	,
Et	Vvc	et
frappe	Nc	frappe|frappé
comme	S	comme
un	Dn	un
sourd	Nc	sourd
:	Fw	:
pour	S	pour
moi	Pp	je
,	Fw	,
je	Pp	je
te	Pp	tu
conseille	Vvc	conseiller
,	Fw	,
Puisque	Vvc	puisque
si	Rg	si
librement	Rg	librement
il	Pp	il
donne	Vvc	donner
sur	S	sur
l'	Da	le
oreille	Nc	oreille
,	Fw	,
De	Vvc	de
ne	Rp	ne
vivre	Vvn	vivre
avec	S	avec
lui	Pp	il
qu'	Cs	que
avec	S	avec
bien	Rg	bien
du	S+Da	de+le
respect	Nc	respect
,	Fw	,
De	Vvc	de
ne	Rp	ne
le	Pp	il
railler	Vvn	railler
point	Rg	point
,	Fw	,
de	S	de
l'	Pp	il
avoir	Vun	avoir
pour	S	pour
suspect	Ag	suspect
,	Fw	,
Alors	Nc	alors
qu'	Pr	que
il	Pp	il
sera	Vuc	être
près	Rg	près
de	S	de
ta	Ds	ton
chère	Ag	cher
personne	Nc	personne
,	Fw	,
Ma	Vvc	ma
foi	Nc	foi
bien	Rg	bien
brusquement	Rg	brusquement
sa	Ds	son
main	Nc	main
un	Dn	un
soufflet	Nc	soufflet
donne	Vvc	donner
,	Fw	,
Et	Vvc	et
bien	Rg	bien
paisiblement	Rg	paisiblement
ta	Ds	ton
face	Nc	face
le	Pp	il
reçoit	Vvc	recevoir
.	Fs	.
Pourquoi	Rt	pourquoi
le	Pp	il
raillais	Vvc	railler
-tu	Vvn	-tu
,	Fw	,
lui	Pp	il
qui	Pr	qui
te	Pp	tu
caressait	Vvc	caresser
?	Fs	?
Ô	Vvc	ô
mon	Ds	mon
cher	Ag	cher
Jodelet	Nc	jodelet
,	Fw	,
au	S+Da	à+le
visage	Nc	visage
de	S	de
Dogue	Nc	dogue
,	Fw	,
Si	Vvc	si
tu	Pp	tu
n'	Rp	ne
avais	Vuc	avoir
été	Ge	être
dans	S	dans
tes	Ds	ton
discours	Nc	discours
trop	Rg	trop
rogue	Nc	rogue
,	Fw	,
Ton	Vvc	ton
visage	Nc	visage
charmant	Ga	charmer
ne	Rp	ne
serait	Vuc	être
pas	Rg	pas
poilu	Ag	poilu
;	Fw	;
Mais	Vvc	mais
tu	Pp	tu
l'	Pp	il
as	Vuc	avoir
souhaité	Ge	souhaiter
,	Fw	,
mais	Cc	mais
tu	Pp	tu
l'	Pp	il
as	Vuc	avoir
bien	Rg	bien
voulu	Ge	vouloir
;	Fw	;
Et	Vvc	et
moi	Pp	je
qui	Pr	qui
suis	Vuc	être
pour	S	pour
toi	Pp	tu
d'	S	de
amour	Nc	amour
si	Rg	si
mal	Rg	mal
traitée	Ge	traiter
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
vu	Ge	voir
par	S	par
main	Nc	main
d'	S	de
autrui	Pi	autrui
ta	Ds	ton
face	Nc	face
souffletée	Ge	souffleter
,	Fw	,
J'	Vvc	j'
en	Pp	en
ai	Vuc	avoir
la	Da	le
rage	Nc	rage
au	S+Da	à+le
coeur	Nc	cœur
,	Fw	,
j'	Pp	je
en	Pp	en
ai	Vuc	avoir
la	Da	le
larme	Nc	larme
aux	S+Da	à+les
yeux	Nc	œil
.	Fs	.
Tu	Pp	tu
ne	Rp	ne
te	Pp	tu
tairas	Vvc	taire
pas	Rg	pas
?	Fs	?
J'	Pp	je
en	Pp	en
suis	Vuc	être
tout	Rg	tout
glorieux	Ag	glorieux
,	Fw	,
Et	Vvc	et
me	Pp	je
voir	Vvn	voir
avec	S	avec
vous	Pp	vous
,	Fw	,
et	Cc	et
dans	S	dans
votre	Ds	votre
mémoire	Nc	mémoire
,	Fw	,
Est	Vvc	est
un	Dn	un
bonheur	Nc	bonheur
si	Rg	si
grand	Ag	grand
,	Fw	,
que	Cs	que
je	Pp	je
ne	Rp	ne
le	Pp	il
puis	Vvc	pouvoir
croire	Vvn	croire
.	Fs	.
Je	Pp	je
m'	Pp	je
acquitterai	Vvc	acquitter
mal	Rg	mal
de	S	de
ce	Pd	ce
que	Pr	que
je	Pp	je
vous	Pp	vous
dois	Vvc	devoir
,	Fw	,
Si	Vvc	si
je	Pp	je
ne	Rp	ne
vous	Pp	vous
embrasse	Vvc	embrasser
une	Dn	un
seconde	Nc	second|seconde
fois	Nc	fois
;	Fw	;
Et	Vvc	et
je	Pp	je
me	Pp	je
plains	Vvc	plaindre
de	S	de
vous	Pp	vous
,	Fw	,
Don	Nc	don
Diègue	Vvc	diègue
,	Fw	,
ou	Cc	ou
je	Pp	je
meure	Vvc	murer
,	Fw	,
D'	Vvc	d'
avoir	Vun	avoir
hors	S	hors
de	S	de
chez	S	chez
moi	Pp	je
choisi	Ge	choisir
votre	Ds	votre
demeure	Nc	demeure|demeuré
;	Fw	;
Mais	Vvc	mais
en	S	en
vous	Pp	vous
traitant	Ga	traiter
mal	Rg	mal
,	Fw	,
je	Pp	je
saurai	Vvc	savoir
m'	Pp	je
en	S	en
venger	Vvn	venger
,	Fw	,
Va-t	Nc	va-t
-en	Vvc	-en
vite	Rg	vite
au	S+Da	à+le
logis	Nc	logis
faire	Vvn	faire
tout	Pi	tout
arranger	Vvn	arranger
,	Fw	,
Don	Nc	don
Diègue	Ag	diègue
est	Vuc	être
mon	Ds	mon
Hôte	Nc	hôte
.	Fs	.
En	Pp	en
êtes	Vuc	être
-vous	Ge	-vous
bien	Rg	bien
aise	Ag	aise|aisé
?	Fs	?
Ne	Rp	ne
pense	Vvc	penser
pas	Rg	pas
ici	Rg	ici
dire	Vvn	dire
quelque	Di	quelque
fadaise	Nc	fadaise
.	Fs	.
Je	Pp	je
ne	Rp	ne
dis	Vvc	dire
rien	Pi	rien
.	Fs	.
Écoute	Nc	écoute
.	Fs	.
Alphonse	Nc	alphonse
,	Fw	,
approche	Nc	approche
-toi	Vvc	-toi
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
trouvé	Ge	trouver
Don	Nc	don
Félix	Nc	félix
.	Fs	.
Et	Cc	et
j'	Pp	je
ai	Vuc	avoir
souffleté	Ge	souffleter
moi	Pp	je
Son	Vvc	son
faquin	Nc	faquin
de	S	de
valet	Nc	valet
.	Fs	.
Don	Nc	don
Félix	Nc	félix
cependant	Rg	cependant
parle	Vvc	parler
à	S	à
Béatrix	Nc	béatrix
en	S	en
secret	Nc	secret
.	Fs	.
Comment	Rt	comment
?	Fs	?
Il	Pp	il
voulait	Vvc	vouloir
rire	Vvn	rire
;	Fw	;
Je	Vvc	je
l'	Pp	il
ai	Vuc	avoir
prié	Ge	prier
cent	Nc	cent
fois	Nc	fois
,	Fw	,
et	Cc	et
cent	Nc	cent
fois	Nc	fois
de	S	de
me	Pp	je
dire	Vvn	dire
Où	Vvc	où
loge	Nc	loge
Don	Nc	don
Félix	Nc	félix
;	Fw	;
il	Pp	il
m'	Pp	je
a	Vuc	avoir
traité	Ge	traiter
de	S	de
sot	Nc	sot
.	Fs	.
Vois	Vvc	voir
-tu	Vvn	-tu
,	Fw	,
si	Cs	si
Don	Nc	don
Félix	Nc	félix
m'	Pp	je
en	Pp	en
dit	Vvc	dire
le	Da	le
moindre	Ag	moindre
mot	Nc	mot
,	Fw	,
Je	Vvc	je
veux	Vvc	vouloir
qu'	Cs	que
on	Pp	on
le	Pp	il
contente	Vvc	contenter
et	Cc	et
qu'	Cs	que
on	Pp	on
le	Pp	il
satisfasse	Vvc	satisfaire
.	Fs	.
Je	Pp	je
pourrai	Vvc	pouvoir
bien	Rg	bien
encor	Nc	encor
lui	Pp	il
retoucher	Vvn	retoucher
la	Da	le
face	Nc	face
.	Fs	.
Et	Cc	et
moi	Pp	je
je	Pp	je
pourrai	Vvc	pouvoir
bien	Rg	bien
,	Fw	,
si	Cs	si
j'	Pp	je
en	Pp	en
entends	Vvc	entendre
parler	Vvn	parler
,	Fw	,
Aux	Vvc	aux
dépens	Nc	dépens
de	S	de
ton	Ds	ton
dos	Nc	dos
t'	Pp	tu
apprendre	Vvn	apprendre
à	S	à
quereller	Vvn	quereller
,	Fw	,
Je	Vvc	je
ne	Rp	ne
puis	Vvc	pouvoir
refuser	Vvn	refuser
Don	Nc	don
Félix	Nc	félix
qui	Pr	qui
me	Pp	je
prie	Vvc	prier
;	Fw	;
Retourne	Vvc	retourner
vitement	Rg	vitement
à	S	à
notre	Ds	notre
Hôtellerie	Nc	hôtellerie
Quérir	Vvn	quérir
mon	Ds	mon
équipage	Nc	équipage
,	Fw	,
et	Cc	et
l'	Pp	il
apporte	Vvc	apporter
chez	S	chez
lui	Pp	il
.	Fs	.
Je	Pp	je
vous	Pp	vous
ai	Vuc	avoir
bien	Rg	bien
cherché	Ge	chercher
,	Fw	,
Don	Nc	don
Félix	Nc	félix
aujourd'hui	Rg	aujourd'hui
.	Fs	.
Et	Cc	et
que	Pr	que
veux	Vvc	vouloir
-tu	Vvn	-tu
de	S	de
moi	Pp	je
,	Fw	,
Béatris	Vvc	béatris
?	Fs	?
Ma	Ds	mon
Maîtresse	Ag	maîtresse
Vous	Nc	vous
veut	Vvc	vouloir
entretenir	Vvn	entretenir
pour	S	pour
affaire	Nc	affaire|affairé
qui	Pr	qui
presse	Vvc	presser
.	Fs	.
Et	Cc	et
ma	Ds	mon
belle	Ag	beau
inhumaine	Ag	inhumain
est-elle	Ag	est-elle
à	S	à
la	Da	le
maison	Nc	maison
?	Fs	?
Elle	Pp	il
vient	Vvc	venir
à	S	à
l'	Da	le
instant	Nc	instant
d'	S	de
aller	Vvn	aller
à	S	à
l'	Da	le
Oraison	Nc	oraison
.	Fs	.
Elle	Pp	il
y	Pp	y
va	Vvc	aller
bien	Rg	bien
en	S	en
vain	Ag	vain
,	Fw	,
puisque	Cs	puisque
alors	Rg	alors
qu'	Cs	que
on	Pp	on
la	Pp	il
prie	Vvc	prier
,	Fw	,
Au	Vvc	au
lieu	Nc	lieu
de	S	de
la	Pp	il
fléchir	Vvn	fléchir
on	Pp	on
la	Pp	il
met	Vvc	mettre
en	S	en
furie	Nc	furie
,	Fw	,
Une	Vvc	une
plainte	Ge	plaindre
l'	Da	le
offense	Nc	offence
,	Fw	,
un	Dn	un
soupir	Nc	soupir
lui	Pp	il
déplaît	Vvc	déplaire
,	Fw	,
Et	Vvc	et
toute	Di	tout
belle	Ag	beau
,	Fw	,
jeune	Ag	jeune
,	Fw	,
et	Cc	et
parfaite	Ag	parfait
qu'	Cs	que
elle	Pp	il
est	Vuc	être
.	Fs	.
Ah	I	ah
!	Fs	!
Mon	Ds	mon
Dieu	Nc	dieu
,	Fw	,
gardez	Vvc	garder
-lui	Nc	-lui
